Timestamp,LTP,BidQty,AskQty
2025-06-06 12:27:58.771567,904.8,510,330
2025-06-06 12:27:58.879688,796.4,270,390
2025-06-06 12:27:59.078753,746.65,270,420
2025-06-06 12:27:59.303885,904.5,300,510
2025-06-06 12:27:59.383252,797.6,270,390
2025-06-06 12:27:59.809418,904.6,300,510
2025-06-06 12:28:00.030558,746.65,270,420
2025-06-06 12:28:00.081543,797.6,510,300
2025-06-06 12:28:00.318033,746.65,300,300
2025-06-06 12:28:00.429294,904.6,300,510
2025-06-06 12:28:00.429755,797.6,510,300
2025-06-06 12:28:00.461180,746.65,300,300
2025-06-06 12:28:00.508477,904.6,300,330
2025-06-06 12:28:00.583955,796.4,510,300
2025-06-06 12:28:00.773744,903.95,300,330
2025-06-06 12:28:01.028995,745.85,300,300
2025-06-06 12:28:01.184842,797.15,510,300
2025-06-06 12:28:01.490188,797.15,450,240
2025-06-06 12:28:01.490909,745.85,300,240
2025-06-06 12:28:01.710370,904.0,300,360
2025-06-06 12:28:01.772828,904.0,300,360
2025-06-06 12:28:02.385677,797.65,450,240
2025-06-06 12:28:02.682811,797.45,300,300
2025-06-06 12:28:02.686769,745.85,420,390
2025-06-06 12:28:02.773165,905.0,300,360
2025-06-06 12:28:03.108099,905.0,270,480
2025-06-06 12:28:03.184614,797.45,300,300
2025-06-06 12:28:03.773670,903.95,270,480
2025-06-06 12:28:03.885501,797.45,300,270
2025-06-06 12:28:03.888536,745.85,690,300
2025-06-06 12:28:04.310871,903.95,270,300
2025-06-06 12:28:04.630560,747.5,690,300
2025-06-06 12:28:04.786237,794.95,300,270
2025-06-06 12:28:04.984021,903.3,270,300
2025-06-06 12:28:05.088906,794.95,180,330
2025-06-06 12:28:05.297724,747.5,690,210
2025-06-06 12:28:05.511599,903.3,300,240
2025-06-06 12:28:05.799654,903.85,300,240
2025-06-06 12:28:06.296577,794.95,330,360
2025-06-06 12:28:06.385994,798.0,330,360
2025-06-06 12:28:06.492982,747.5,270,270
2025-06-06 12:28:06.721878,904.0,540,150
2025-06-06 12:28:06.775373,904.0,540,150
2025-06-06 12:28:07.186664,798.0,330,360
2025-06-06 12:28:07.238240,748.25,270,270
2025-06-06 12:28:07.690554,798.0,270,630
2025-06-06 12:28:07.691410,748.25,300,240
2025-06-06 12:28:07.775327,907.15,540,150
2025-06-06 12:28:07.918143,907.15,570,420
2025-06-06 12:28:08.037282,746.0,300,240
2025-06-06 12:28:08.190272,793.0,270,630
2025-06-06 12:28:08.777071,904.8,570,420
2025-06-06 12:28:08.893860,793.0,360,510
2025-06-06 12:28:08.894178,745.0,210,180
2025-06-06 12:28:09.034506,747.7,210,180
2025-06-06 12:28:09.317203,905.0,390,390
2025-06-06 12:28:09.778725,905.45,390,390
2025-06-06 12:28:10.098593,793.0,450,270
2025-06-06 12:28:10.098820,747.7,570,270
2025-06-06 12:28:10.523452,905.6,420,360
2025-06-06 12:28:10.776627,905.6,420,360
2025-06-06 12:28:11.305181,793.0,270,360
2025-06-06 12:28:11.305377,747.7,270,240
2025-06-06 12:28:11.437632,748.25,270,240
2025-06-06 12:28:11.727042,905.6,600,360
2025-06-06 12:28:11.988564,907.55,600,360
2025-06-06 12:28:11.995377,798.05,270,360
2025-06-06 12:28:12.696863,798.05,240,690
2025-06-06 12:28:12.697578,748.25,300,210
2025-06-06 12:28:12.776696,904.9,600,360
2025-06-06 12:28:12.922992,904.9,270,390
2025-06-06 12:28:13.789340,907.25,270,390
2025-06-06 12:28:13.906852,748.25,390,360
2025-06-06 12:28:13.909741,798.05,630,540
2025-06-06 12:28:14.126064,905.05,720,360
2025-06-06 12:28:14.778762,906.85,720,360
2025-06-06 12:28:15.105247,748.25,420,390
2025-06-06 12:28:15.105585,798.05,480,540
2025-06-06 12:28:15.334923,904.7,660,300
2025-06-06 12:28:15.795128,904.95,660,300
2025-06-06 12:28:16.303917,748.25,300,240
2025-06-06 12:28:16.305473,798.05,420,570
2025-06-06 12:28:16.532992,904.8,690,390
2025-06-06 12:28:16.781933,904.8,690,390
2025-06-06 12:28:16.839778,748.95,300,240
2025-06-06 12:28:16.997811,797.15,420,570
2025-06-06 12:28:17.196166,795.15,420,570
2025-06-06 12:28:17.240117,745.35,300,240
2025-06-06 12:28:17.506699,795.15,210,630
2025-06-06 12:28:17.704005,745.35,300,270
2025-06-06 12:28:17.733058,900.05,1170,390
2025-06-06 12:28:17.781335,900.05,1170,390
2025-06-06 12:28:18.782045,900.85,1170,390
2025-06-06 12:28:18.908330,745.35,300,390
2025-06-06 12:28:18.908614,795.15,240,360
2025-06-06 12:28:19.130234,900.85,630,420
2025-06-06 12:28:19.990433,903.1,630,420
2025-06-06 12:28:20.110606,795.15,210,600
2025-06-06 12:28:20.111094,745.35,210,330
2025-06-06 12:28:20.389010,903.3,570,420
2025-06-06 12:28:20.784202,904.75,570,420
2025-06-06 12:28:21.322865,745.35,300,300
2025-06-06 12:28:21.323262,795.15,180,270
2025-06-06 12:28:21.535844,904.5,300,390
2025-06-06 12:28:21.783845,904.75,300,390
2025-06-06 12:28:21.794958,796.8,180,270
2025-06-06 12:28:22.512477,745.35,270,270
2025-06-06 12:28:22.514342,796.8,210,300
2025-06-06 12:28:22.739917,902.7,420,390
2025-06-06 12:28:22.784875,902.7,420,390
2025-06-06 12:28:23.722666,745.35,240,330
2025-06-06 12:28:23.784870,905.5,420,390
2025-06-06 12:28:23.838506,746.5,240,330
2025-06-06 12:28:23.915806,796.8,300,210
2025-06-06 12:28:24.138175,905.4,690,360
2025-06-06 12:28:24.396771,796.75,300,210
2025-06-06 12:28:24.785499,903.5,690,360
2025-06-06 12:28:24.917205,746.5,240,300
2025-06-06 12:28:25.117840,796.75,300,270
2025-06-06 12:28:25.363588,905.2,330,420
2025-06-06 12:28:25.792773,905.1,330,420
2025-06-06 12:28:26.196394,796.75,300,270
2025-06-06 12:28:26.326382,746.5,180,270
2025-06-06 12:28:26.328569,796.75,300,390
2025-06-06 12:28:26.544102,905.1,300,210
2025-06-06 12:28:27.387853,905.0,300,210
2025-06-06 12:28:27.517907,746.5,180,300
2025-06-06 12:28:27.521832,796.75,270,270
2025-06-06 12:28:27.744487,905.0,450,360
